Unique_id,Links,Name,Ratings,Price_for_one,Cuisine
112,https://www.zomato.com/bangalore/biryani-trip-destination-hyderabad-seshadripuram-bangalore/order,Biryani Trip - Destination Hyderabad,4.3,100,"Biryani, Mughlai, Hyderabadi"
113,https://www.zomato.com/bangalore/priyadarshini-grand-basaveshwara-nagar/order,Priyadarshini Grand,4.3,100,"South Indian, Street Food, Ice Cream, Desserts, Beverages, Shake"
114,https://www.zomato.com/bangalore/ts-21-spice-biryani-indiranagar-bangalore/order,T’s 21 Spice Biryani,4,100,"Biryani, Andhra"
115,https://www.zomato.com/bangalore/new-shanthi-sagar-rajajinagar-bangalore/order,New Shanthi Sagar,4,100,"North Indian, Street Food, Fast Food, South Indian, Chinese, Ice Cream, Shake"
116,https://www.zomato.com/bangalore/juice-junction-st-marks-road/order,Juice Junction,4.2,100,"Juices, Beverages, Sandwich, Fast Food, Shake, Rolls, Healthy Food, Street Food"
117,https://www.zomato.com/bangalore/new-udupi-grand-1-koramangala-8th-block-bangalore/order,New Udupi Grand,3.8,100,"South Indian, North Indian, Street Food, Beverages, Chinese, Shake"
118,https://www.zomato.com/bangalore/sagar-hotel-rajajinagar/order,Sagar Hotel,4.2,100,"North Indian, Chinese, Street Food, Fast Food, South Indian, Juices, Beverages"
119,https://www.zomato.com/bangalore/kolkata-famous-kati-rolls-rajajinagar-bangalore/order,Kolkata Famous Kati Rolls,3.9,100,Rolls
120,https://www.zomato.com/bangalore/hyderabad-biryaani-house-airport-road/order,Hyderabad Biryaani House,3.8,200,"Biryani, North Indian, Hyderabadi, Mughlai, Chinese"
121,https://www.zomato.com/bangalore/meghduth-biryanis-jayanagar-bangalore/order,Meghduth Biryanis,3.7,200,"Biryani, South Indian"
122,https://www.zomato.com/bangalore/sai-prasadam-vijay-nagar-bangalore/order,Sai Prasadam,4.1,200,"North Indian, South Indian, Street Food, Chinese"
123,https://www.zomato.com/bangalore/chowman-indiranagar-bangalore/order,Chowman,4,200,"Chinese, Asian, Thai, Oriental, Seafood, Sichuan, Beverages, Desserts"
124,https://www.zomato.com/bangalore/idc-kitchen-residency-road-bangalore/order,IDC Kitchen,4.2,200,"South Indian, Beverages"
125,https://www.zomato.com/bangalore/szechuan-dragon-banashankari/order,Szechuan Dragon,4.1,200,"Chinese, Asian, Thai, Momos"
126,https://www.zomato.com/chettyscorner/order,Chetty's Corner,4,200,"Fast Food, Sandwich, Pizza, Burger, Street Food, Beverages"
127,https://www.zomato.com/bangalore/biggies-burger-church-street-bangalore/order,Biggies Burger,4.1,200,"Fast Food, Burger, Beverages"
128,https://www.zomato.com/bangalore/kolkata-no-1-kati-rolls-rajajinagar-bangalore/order,Kolkata No. 1 Kati Rolls,3.9,200,Rolls
129,https://www.zomato.com/bangalore/kabab-king-kumaraswamy-layout-bangalore/order,Kabab King,3.4,200,"North Indian, Chinese, Juices, Shake"
130,https://www.zomato.com/bangalore/momoz-rt-nagar-bangalore/order,Momoz,4,200,"Chinese, Momos, Sichuan"
